"SYMBOL","log2FoldChange","padj","has_FOXA1","n_miRNAs","top_miRNA","direction"
"JPH2",-2.37818008194606,0.000684213172142359,TRUE,69,"hsa-let-7b-5p","Downregulated"
"HYAL1",-2.19207076221267,0.000684213172142359,TRUE,16,"hsa-miR-129-2-3p","Downregulated"
"NXPH3",-1.88087837520611,0.000688513640478318,TRUE,44,"hsa-let-7a-5p","Downregulated"
"IRAK1",1.14982611088301,0.000696546175486074,TRUE,146,"hsa-let-7a-5p","Upregulated"
"C5AR1",1.63531545352421,0.000728528360214684,TRUE,11,"hsa-miR-103a-3p","Upregulated"
"PTGDS",-2.88425023631469,0.000738696225675069,TRUE,36,"hsa-let-7a-3p","Downregulated"
"DEPDC1",4.11774543369684,0.000748240511459722,TRUE,161,"hsa-let-7a-5p","Upregulated"
"ABCA9",-2.61725821566805,0.000764856503895584,TRUE,19,"hsa-miR-101-3p","Downregulated"
"BLACAT1",3.01089599859779,0.000774263578488932,TRUE,28,"hsa-let-7a-5p","Upregulated"
"MYL9",-2.36710193658838,0.00077869855455054,TRUE,69,"hsa-let-7a-5p","Downregulated"
"DNAJC18",-1.5602677088242,0.000780992645320691,TRUE,91,"hsa-let-7a-5p","Downregulated"
"S100A2",-3.90089555549989,0.000786054061827877,TRUE,58,"hsa-let-7a-5p","Downregulated"
"PLAC9",-2.49406595827869,0.000817558627400564,TRUE,1,"hsa-miR-450a-5p","Downregulated"
"H2BC11",2.49134400139837,0.000819337866820962,TRUE,110,"hsa-let-7i-3p","Upregulated"
